hsa	Homo sapiens (human)
efi	Enterococcus faecalis OG1RF
efd	Enterococcus faecalis D32
efs	Enterococcus faecalis Symbioflor 1
efn	Enterococcus faecalis DENG1
efq	Enterococcus faecalis ATCC 29212
efc	Enterococcus faecium Aus0004
efau	Enterococcus faecium Aus0085
efu	Enterococcus faecium DO
efm	Enterococcus faecium NRRL B-2354
eft	Enterococcus faecium T110
ehr	Enterococcus hirae
ene	Enterococcus sp. 7L76
ecas	Enterococcus casseliflavus
emu	Enterococcus mundtii
mps	Melissococcus plutonius ATCC 35311
mpx	Melissococcus plutonius DAT561
thl	Tetragenococcus halophilus
ooe	Oenococcus oeni
lme	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
lmm	Leuconostoc mesenteroides subsp. mesenteroides J18
lmk	Leuconostoc mesenteroides KFRI-MG
lci	Leuconostoc citreum
lki	Leuconostoc kimchii
lgs	Leuconostoc gasicomitatum
lec	Leuconostoc sp. C2
lcn	Leuconostoc carnosum
lge	Leuconostoc gelidum
wko	Weissella koreensis
wce	Weissella ceti WS08
wct	Weissella ceti WS74
wci	Weissella ceti WS105
aur	Aerococcus urinae
crn	Carnobacterium sp. 17-4
cml	Carnobacterium maltaromaticum
caw	Carnobacterium sp. WN1359
cac	Clostridium acetobutylicum ATCC 824
cae	Clostridium acetobutylicum DSM 1731
cay	Clostridium acetobutylicum EA 2018
cpe	Clostridium perfringens 13
cpf	Clostridium perfringens ATCC 13124
cpr	Clostridium perfringens SM101
ctc	Clostridium tetani E88
ctet	Clostridium tetani 12124569
cno	Clostridium novyi
cbo	Clostridium botulinum A ATCC 3502
cba	Clostridium botulinum A ATCC 19397
cbh	Clostridium botulinum A Hall
cby	Clostridium botulinum A2
cbl	Clostridium botulinum A3 Loch Maree
cbk	Clostridium botulinum B Eklund 17B
cbb	Clostridium botulinum B1 Okra
cbi	Clostridium botulinum Ba4
cbn	Clostridium botulinum BKT015925
cbt	Clostridium botulinum E3
cbf	Clostridium botulinum F Langeland
cbm	Clostridium botulinum F 230613
cbj	Clostridium botulinum H04402 065
cbe	Clostridium beijerinckii
ckl	Clostridium kluyveri DSM 555
ckr	Clostridium kluyveri NBRC 12016
cce	Clostridium cellulolyticum
clj	Clostridium ljungdahlii
ccb	Clostridium cellulovorans
cls	Clostridium sp. SY8519
clb	Clostridium sp. BNL1100
csr	Clostridium saccharoperbutylacetonicum
cpas	Clostridium pasteurianum
csb	Clostridium saccharobutylicum
cah	Clostridium autoethanogenum
clt	Clostridium sp. M2/40
amt	Alkaliphilus metalliredigens
aoe	Alkaliphilus oremlandii
asf	Candidatus Arthromitus sp. SFB-mouse-Japan
asm	Candidatus Arthromitus sp. SFB-mouse-Yit
aso	Candidatus Arthromitus sp. SFB-mouse-NL
asb	Candidatus Arthromitus sp. SFB-rat-Yit
cth	Ruminiclostridium thermocellum ATCC 27405
ctx	Ruminiclostridium thermocellum DSM 1313
ccl	Clostridium clariflavum
esr	Eubacterium siraeum V10Sc8a
esu	Eubacterium siraeum 70/3
css	Clostridium stercorarium subsp. stercorarium DSM 8532
csd	Clostridium stercorarium subsp. stercorarium DSM 8532
eha	Ethanoligenens harbinense
ral	Ruminococcus albus
rbr	Ruminococcus bromii
rch	Ruminococcus champanellensis
rum	Ruminococcus sp. SR1/5
rus	Ruminococcus sp. 80/3
fpr	Faecalibacterium prausnitzii L2-6
fpa	Faecalibacterium prausnitzii SL3/3
bpb	Butyrivibrio proteoclasticus
bfi	Butyrivibrio fibrisolvens
cle	Cellulosilyticum lentocellum
rho	Roseburia hominis
rix	Roseburia intestinalis XB6B4
rim	Roseburia intestinalis M50/1
coo	Coprococcus sp. ART55/1
cct	Coprococcus catus
rob	Ruminococcus obeum
rto	Ruminococcus torques
cpy	Lachnoclostridium phytofermentans
csh	Clostridium saccharolyticum WM1
cso	Clostridium cf. saccharolyticum K10
cad	Clostridium acidurici
cdf	Peptoclostridium difficile 630
cdc	Peptoclostridium difficile CD196
cdl	Peptoclostridium difficile R20291
cdg	Peptoclostridium difficile BI1
cst	Clostridium sticklandii
faa	Filifactor alocis
sth	Symbiobacterium thermophilum
swo	Syntrophomonas wolfei
slp	Syntrophothermus lipocalidus
dsy	Desulfitobacterium hafniense Y51
dhd	Desulfitobacterium hafniense DCB-2
ddh	Desulfitobacterium dehalogenans
ddl	Desulfitobacterium dichloroeliminans
drm	Desulfotomaculum reducens
dae	Desulfotomaculum acetoxidans
dca	Desulfotomaculum carboxydivorans
dku	Desulfotomaculum kuznetsovii
dru	Desulfotomaculum ruminis
dgi	Desulfotomaculum gibsoniae
pth	Pelotomaculum thermopropionicum
dau	Candidatus Desulforudis audaxviator
tjr	Thermincola potens
sgy	Syntrophobotulus glycolicus
dor	Desulfosporosinus orientis
dai	Desulfosporosinus acidiphilus
dmi	Desulfosporosinus meridiei
ded	Dehalobacter sp. DCA
dec	Dehalobacter sp. CF
drs	Dehalobacter restrictus
hmo	Heliobacterium modesticaldum
fma	Finegoldia magna
apr	Anaerococcus prevotii
eel	Eubacterium eligens
ere	Eubacterium rectale ATCC 33656
ert	Eubacterium rectale DSM 17629
era	Eubacterium rectale M104/1
elm	Eubacterium limosum
eac	Eubacterium acidaminophilum
awo	Acetobacterium woodii
ova	Oscillibacter valericigenes
tmr	Thermaerobacter marianensis
say	Sulfobacillus acidophilus TPY
sap	Sulfobacillus acidophilus DSM 10332
clo	Clostridiales genomosp. BVAB3
bprm	Butyrate-producing bacterium SM4/1
bprs	Butyrate-producing bacterium SS3/4
bprl	Butyrate-producing bacterium SSC/2
tte	Thermoanaerobacter tengcongensis
tex	Thermoanaerobacter sp. X514
thx	Thermoanaerobacter sp. X513
tpd	Thermoanaerobacter pseudethanolicus
tit	Thermoanaerobacter italicus
tmt	Thermoanaerobacter mathranii
tbo	Thermoanaerobacter brockii
twi	Thermoanaerobacter wiegelii
chy	Carboxydothermus hydrogenoformans
tep	Tepidanaerobacter acetatoxydans Re1
tae	Tepidanaerobacter acetatoxydans Re1
mta	Moorella thermoacetica
adg	Ammonifex degensii
tpz	Thermacetogenium phaeum
csc	Caldicellulosiruptor saccharolyticus
ate	Caldicellulosiruptor bescii
cob	Caldicellulosiruptor obsidiansis
chd	Caldicellulosiruptor hydrothermalis
cow	Caldicellulosiruptor owensensis
cki	Caldicellulosiruptor kristjanssonii
ckn	Caldicellulosiruptor kronotskyensis
clc	Caldicellulosiruptor lactoaceticus
toc	Thermosediminibacter oceani
ttm	Thermoanaerobacterium thermosaccharolyticum DSM 571
tto	Thermoanaerobacterium thermosaccharolyticum M0795
txy	Thermoanaerobacterium xylanolyticum
tsh	Thermoanaerobacterium saccharolyticum
cpo	Coprothermobacter proteolyticus
tnr	Thermodesulfobium narugense
mas	Mahella australiensis
nth	Natranaerobius thermophilus
hor	Halothermothrix orenii
has	Halanaerobium hydrogeniformans
hpk	Halanaerobium praevalens
aar	Acetohalobium arabaticum
hhl	Halobacteroides halobius
vpr	Veillonella parvula
ssg	Selenomonas sputigena
sri	Selenomonas ruminantium
med	Megasphaera elsdenii
mhg	Megamonas hypermegale
puf	Pelosinus sp. UFO1
afn	Acidaminococcus fermentans
ain	Acidaminococcus intestini
erh	Erysipelothrix rhusiopathiae Fujisawa
ers	Erysipelothrix rhusiopathiae SY1027
euc	Eubacterium cylindroides
mge	Mycoplasma genitalium G37
mgu	Mycoplasma genitalium M2288
mgc	Mycoplasma genitalium M2321
mgq	Mycoplasma genitalium M6282
mgx	Mycoplasma genitalium M6320
mpn	Mycoplasma pneumoniae M129
mpm	Mycoplasma pneumoniae 309
mpj	Mycoplasma pneumoniae FH
mpb	Mycoplasma pneumoniae M129-B7
mpu	Mycoplasma pulmonis
mpe	Mycoplasma penetrans
mga	Mycoplasma gallisepticum R(low)
mgh	Mycoplasma gallisepticum R(high)
mgf	Mycoplasma gallisepticum F
mgn	Mycoplasma gallisepticum NC06_2006.080-5-2P
mgs	Mycoplasma gallisepticum NC95_13295-2-2P
mgt	Mycoplasma gallisepticum NY01_2001.047-5-1P
mgv	Mycoplasma gallisepticum VA94_7994-1-7P
mgw	Mycoplasma gallisepticum WI01_2001.043-13-2P
mgac	Mycoplasma gallisepticum CA06_2006.052-5-2P
mgan	Mycoplasma gallisepticum NC08_2008.031-4-3P
mgnc	Mycoplasma gallisepticum NC96_1596-4-2P
mgz	Mycoplasma gallisepticum S6
mmy	Mycoplasma mycoides subsp. mycoides SC PG1
mmym	Mycoplasma mycoides subsp. mycoides SC Gladysdale
mml	Mycoplasma mycoides subsp. capri LC 95010
mmo	Mycoplasma mobile
mhy	Mycoplasma hyopneumoniae 232
mhj	Mycoplasma hyopneumoniae J
mhp	Mycoplasma hyopneumoniae 7448
mhn	Mycoplasma hyopneumoniae 168
mhyl	Mycoplasma hyopneumoniae 168-L
mhyo	Mycoplasma hyopneumoniae 7422
msy	Mycoplasma synoviae
mcp	Mycoplasma capricolum
maa	Mycoplasma agalactiae PG2
mal	Mycoplasma agalactiae 5632
mat	Mycoplasma arthritidis
mco	Mycoplasma conjunctivae
mho	Mycoplasma hominis
mcd	Mycoplasma crocodyli
mhr	Mycoplasma hyorhinis HUB-1
mhh	Mycoplasma hyorhinis GDL-1
mhm	Mycoplasma hyorhinis MCLD
mhs	Mycoplasma hyorhinis SK76
mhv	Mycoplasma hyorhinis DBS 1050
mfr	Mycoplasma fermentans JER
mfm	Mycoplasma fermentans M64
mfp	Mycoplasma fermentans PG18
mbv	Mycoplasma bovis PG45
mbh	Mycoplasma bovis Hubei-1
mbi	Mycoplasma bovis HB0801
mbq	Mycoplasma bovis CQ-W70
mlc	Mycoplasma leachii PG50
mlh	Mycoplasma leachii 99/014/6
mha	Mycoplasma haemofelis Langford 1
mhf	Mycoplasma haemofelis Ohio2
mss	Mycoplasma suis Illinois
msk	Mycoplasma suis KI3806
mpf	Mycoplasma putrefaciens KS1
mput	Mycoplasma putrefaciens Mput9231
mhe	Mycoplasma haemocanis
mwe	Mycoplasma wenyonii
mhl	Candidatus Mycoplasma haemolamae
mcy	Mycoplasma cynos
mhb	Candidatus Mycoplasma haemominutum
mpv	Mycoplasma parvum
mov	Mycoplasma ovis
mbc	Mycoplasma bovoculi
mcr	Mycoplasma californicum
uur	Ureaplasma parvum serovar 3 ATCC 700970
upa	Ureaplasma parvum serovar 3 ATCC 27815
uue	Ureaplasma urealyticum
hcr	Candidatus Hepatoplasma crinochetorum
poy	Onion yellows phytoplasma OY-M
ayw	Aster yellows witches'-broom phytoplasma AYWB
pml	Candidatus Phytoplasma mali
pal	Candidatus Phytoplasma australiense
nzs	Phytoplasma (CPA) NZSb11
psol	Candidatus Phytoplasma solani
acl	Acholeplasma laidlawii
abra	Acholeplasma brassicae
apal	Acholeplasma palmae
mfl	Mesoplasma florum L1
mfw	Mesoplasma florum W37
scr	Spiroplasma chrysopicola
ssyr	Spiroplasma syrphidicola
sdi	Spiroplasma diminutum
stai	Spiroplasma taiwanense
sapi	Spiroplasma apis
smir	Spiroplasma mirum
smia	Spiroplasma mirum
scq	Spiroplasma culicicola
ssab	Spiroplasma sabaudiense
mbj	Mollicutes bacterium
mtu	Mycobacterium tuberculosis H37Rv
mtv	Mycobacterium tuberculosis H37Rv
mtc	Mycobacterium tuberculosis CDC1551
mra	Mycobacterium tuberculosis H37Ra
mtf	Mycobacterium tuberculosis F11
mtb	Mycobacterium tuberculosis KZN 1435
mtk	Mycobacterium tuberculosis KZN 4207
mtz	Mycobacterium tuberculosis KZN 605
mtg	Mycobacterium tuberculosis RGTB327
mti	Mycobacterium tuberculosis RGTB423
mte	Mycobacterium tuberculosis CCDC5079
mtur	Mycobacterium tuberculosis CCDC5079
mtl	Mycobacterium tuberculosis CCDC5180
mto	Mycobacterium tuberculosis CTRI-2
mtd	Mycobacterium tuberculosis UT205
mtn	Mycobacterium tuberculosis Erdman = ATCC 35801
mtj	Mycobacterium tuberculosis Beijing/NITR203
mtub	Mycobacterium tuberculosis 7199-99
mtuc	Mycobacterium tuberculosis CAS/NITR204
mtue	Mycobacterium tuberculosis EAI5/NITR206
mtx	Mycobacterium tuberculosis EAI5
mtuh	Mycobacterium tuberculosis Haarlem/NITR202
mtul	Mycobacterium tuberculosis Haarlem
mtut	Mycobacterium tuberculosis BT1
mtuu	Mycobacterium tuberculosis BT2
mtq	Mycobacterium tuberculosis HKBS1
mbo	Mycobacterium bovis AF2122/97
mbb	Mycobacterium bovis BCG Pasteur 1173P2
mbt	Mycobacterium bovis BCG Tokyo 172
mbm	Mycobacterium bovis BCG Mexico
mbk	Mycobacterium bovis BCG Korea 1168P
mbz	Mycobacterium bovis ATCC BAA-935
maf	Mycobacterium africanum
mce	Mycobacterium canettii CIPT 140010059
mcq	Mycobacterium canettii CIPT 140060008
mcv	Mycobacterium canettii CIPT 140070008
mcx	Mycobacterium canettii CIPT 140070010
mcz	Mycobacterium canettii CIPT 140070017
mle	Mycobacterium leprae TN
mlb	Mycobacterium leprae Br4923
mpa	Mycobacterium avium subsp. paratuberculosis K-10
mao	Mycobacterium avium subsp. paratuberculosis MAP4
mav	Mycobacterium avium 104
mavr	Mycobacterium avium 2285 (R)
mit	Mycobacterium intracellulare MOTT-02
mir	Mycobacterium intracellulare MOTT-64
mia	Mycobacterium intracellulare ATCC 13950
mid	Mycobacterium indicus pranii
myo	Mycobacterium yongonense
msm	Mycobacterium smegmatis MC2 155
msg	Mycobacterium smegmatis MC2 155
msa	Mycobacterium smegmatis JS623
mul	Mycobacterium ulcerans
mva	Mycobacterium vanbaalenii
mgi	Mycobacterium gilvum PYR-GCK
msp	Mycobacterium gilvum Spyr1
mab	Mycobacterium abscessus ATCC 19977
mabb	Mycobacterium abscessus subsp. bolletii 50594
mmv	Mycobacterium abscessus subsp. bolletii GO 06
mak	Mycobacterium abscessus subsp. bolletii MM1513
may	Mycobacterium abscessus subsp. bolletii MA 1948
maz	Mycobacterium abscessus 103
mmc	Mycobacterium sp. MCS
mkm	Mycobacterium sp. KMS
mjl	Mycobacterium sp. JLS
mjd	Mycobacterium sp. JDM601
mmi	Mycobacterium marinum
mrh	Mycobacterium rhodesiae
mmm	Mycobacterium sp. MOTT36Y
mcb	Mycobacterium chubuense
mli	Mycobacterium liflandii
mkn	Mycobacterium kansasii
mne	Mycobacterium neoaurum
asd	Amycolicicoccus subflavus
cgl	Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgb	Corynebacterium glutamicum ATCC 13032 (Bielefeld)
cgu	Corynebacterium glutamicum K051
cgt	Corynebacterium glutamicum R
cgs	Corynebacterium glutamicum SCgG1
cgg	Corynebacterium glutamicum SCgG2
cgm	Corynebacterium glutamicum MB001
cgj	Corynebacterium glutamicum ATCC 21831
cgq	Corynebacterium glutamicum AR1
cef	Corynebacterium efficiens
cdi	Corynebacterium diphtheriae NCTC 13129
cdp	Corynebacterium diphtheriae 241
cdh	Corynebacterium diphtheriae INCA 402
cdt	Corynebacterium diphtheriae HC01
cde	Corynebacterium diphtheriae HC02
cdr	Corynebacterium diphtheriae HC03
cda	Corynebacterium diphtheriae HC04
cdz	Corynebacterium diphtheriae 31A
cdb	Corynebacterium diphtheriae BH8
cds	Corynebacterium diphtheriae C7
cdd	Corynebacterium diphtheriae CDCE 8392
cdw	Corynebacterium diphtheriae PW8
cdv	Corynebacterium diphtheriae VA01
cjk	Corynebacterium jeikeium
cur	Corynebacterium urealyticum DSM 7109
cua	Corynebacterium urealyticum DSM 7111
car	Corynebacterium aurimucosum
ckp	Corynebacterium kroppenstedtii
cpu	Corynebacterium pseudotuberculosis FRC41
cpl	Corynebacterium pseudotuberculosis 3/99-5
cpg	Corynebacterium pseudotuberculosis 316
cpp	Corynebacterium pseudotuberculosis P54B96
cpk	Corynebacterium pseudotuberculosis 1002
cpq	Corynebacterium pseudotuberculosis C231
cpx	Corynebacterium pseudotuberculosis I19
cpz	Corynebacterium pseudotuberculosis PAT10
cor	Corynebacterium pseudotuberculosis 267
cop	Corynebacterium pseudotuberculosis 31
cod	Corynebacterium pseudotuberculosis 1/06-A
cos	Corynebacterium pseudotuberculosis 42/02-A
coi	Corynebacterium pseudotuberculosis CIP 52.97
coe	Corynebacterium pseudotuberculosis 258
cou	Corynebacterium pseudotuberculosis Cp162
crd	Corynebacterium resistens
cul	Corynebacterium ulcerans BR-AD22
cuc	Corynebacterium ulcerans 809
cue	Corynebacterium ulcerans 0102
cva	Corynebacterium variabile
chn	Corynebacterium halotolerans
ccn	Corynebacterium callunae
cter	Corynebacterium terpenotabidum
cmd	Corynebacterium maris
caz	Corynebacterium argentoratense
cfn	Corynebacterium falsenii
ccg	Corynebacterium casei
cvt	Corynebacterium vitaeruminis
cgy	Corynebacterium glycinophilum
cax	Corynebacterium atypicum
cii	Corynebacterium imitans
cuv	Corynebacterium ureicelerivorans
coa	Corynebacterium sp. ATCC 6931
nfa	Nocardia farcinica
ncy	Nocardia cyriacigeorgica
nbr	Nocardia brasiliensis
nno	Nocardia nova
rha	Rhodococcus jostii
rer	Rhodococcus erythropolis PR4
rey	Rhodococcus erythropolis CCM2595
rop	Rhodococcus opacus B4
roa	Rhodococcus opacus PD630
req	Rhodococcus equi
rpy	Rhodococcus pyridinivorans
gbr	Gordonia bronchialis
gpo	Gordonia polyisoprenivorans
gor	Gordonia sp. KTR9
tpr	Tsukamurella paurometabola
srt	Segniliparus rotundus
sco	Streptomyces coelicolor
sma	Streptomyces avermitilis
sgr	Streptomyces griseus
scb	Streptomyces scabiei
ssx	Streptomyces sp. SirexAA-E
svl	Streptomyces violaceusniger
sct	Streptomyces cattleya NRRL 8057
scy	Streptomyces cattleya NRRL 8057 = DSM 46488
sfa	Streptomyces pratensis
sbh	Streptomyces bingchenggensis
shy	Streptomyces hygroscopicus subsp. jinggangensis 5008
sho	Streptomyces hygroscopicus subsp. jinggangensis TL01
sve	Streptomyces venezuelae
sdv	Streptomyces davawensis
salb	Streptomyces albus
strp	Streptomyces sp. PAMC26508
sfi	Streptomyces fulvissimus
sci	Streptomyces collinus
src	Streptomyces rapamycinicus
salu	Streptomyces albulus
slv	Streptomyces lividans
sgu	Streptomyces glaucescens
ksk	Kitasatospora setae
twh	Tropheryma whipplei Twist
tws	Tropheryma whipplei TW08/27
lxx	Leifsonia xyli subsp. xyli CTCB07
lxy	Leifsonia xyli subsp. cynodontis DSM 46306
cmi	Clavibacter michiganensis subsp. michiganensis
cms	Clavibacter michiganensis subsp. sepedonicus
cmc	Clavibacter michiganensis subsp. nebraskensis
mts	Microbacterium testaceum
rla	Candidatus Rhodoluna lacicola
art	Arthrobacter sp. FB24
aau	Arthrobacter aurescens
ach	Arthrobacter chlorophenolicus
aai	Arthrobacter arilaitensis
apn	Arthrobacter phenanthrenivorans
arr	Arthrobacter sp. Rue61a
rsa	Renibacterium salmoninarum
krh	Kocuria rhizophila
mlu	Micrococcus luteus
rmu	Rothia mucilaginosa
rdn	Rothia dentocariosa
bcv	Beutenbergia cavernae
bfa	Brachybacterium faecium
jde	Jonesia denitrificans
kse	Kytococcus sedentarius
dni	Dermacoccus nishinomiyaensis
xce	Xylanimonas cellulosilytica
iva	Isoptericola variabilis
ske	Sanguibacter keddieii
cfl	Cellulomonas flavigena
cfi	Cellulomonas fimi
cga	Cellulomonas gilvus
ica	Intrasporangium calvum
pac	Propionibacterium acnes KPA171202
pak	Propionibacterium acnes SK137
pav	Propionibacterium acnes TypeIA2 P.acn17
pax	Propionibacterium acnes TypeIA2 P.acn31
paz	Propionibacterium acnes TypeIA2 P.acn33
paw	Propionibacterium acnes 266
pad	Propionibacterium acnes ATCC 11828
pcn	Propionibacterium acnes 6609
pacc	Propionibacterium acnes C1
pach	Propionibacterium acnes HL096PA1
pfr	Propionibacterium freudenreichii
ppc	Propionibacterium propionicum
pbo	Propionibacterium acidipropionici
pra	Propionibacterium avidum
mph	Microlunatus phosphovorus
nca	Nocardioides sp. JS614
kfl	Kribbella flavida
tfu	Thermobifida fusca
nda	Nocardiopsis dassonvillei
nal	Nocardiopsis alba
tcu	Thermomonospora curvata
sro	Streptosporangium roseum
fra	Frankia sp. CcI3
fre	Frankia sp. EAN1pec
fri	Frankia sp. EuI1c
fal	Frankia alni
fsy	Frankia symbiont
ace	Acidothermus cellulolyticus
nml	Nakamurella multipartita
gob	Geodermatophilus obscurus
bsd	Blastococcus saxobsidens
mmar	Modestobacter marinus
kra	Kineococcus radiotolerans
sen	Saccharopolyspora erythraea
svi	Saccharomonospora viridis
tbi	Thermobispora bispora
amd	Amycolatopsis mediterranei U32
amn	Amycolatopsis mediterranei S699
amm	Amycolatopsis mediterranei S699
amz	Amycolatopsis mediterranei RB
aoi	Amycolatopsis orientalis
aja	Amycolatopsis japonica
amq	Amycolatopsis methanolica
pdx	Pseudonocardia dioxanivorans
ami	Actinosynnema mirum
sesp	Saccharothrix espanaensis
kal	Kutzneria albida
stp	Salinispora tropica
saq	Salinispora arenicola
mau	Micromonospora aurantiaca
mil	Micromonospora sp. L5
vma	Verrucosispora maris
ams	Actinoplanes missouriensis
ase	Actinoplanes sp. SE50/110
actn	Actinoplanes sp. N902-109
afs	Actinoplanes friuliensis
cai	Catenulispora acidiphila
sna	Stackebrandtia nassauensis
ahe	Arcanobacterium haemolyticum
mcu	Mobiluncus curtisii
tpy	Trueperella pyogenes
asg	Actinobaculum schaalii
blo	Bifidobacterium longum NCC2705
blj	Bifidobacterium longum DJO10A
bln	Bifidobacterium longum subsp. infantis ATCC 15697 (JGI)
blon	Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo)
blf	Bifidobacterium longum subsp. infantis 157F
bll	Bifidobacterium longum subsp. longum JDM301
blb	Bifidobacterium longum subsp. longum BBMN68
blm	Bifidobacterium longum subsp. longum JCM 1217
blk	Bifidobacterium longum subsp. longum KACC 91563
blg	Bifidobacterium longum subsp. longum F8
bad	Bifidobacterium adolescentis ATCC 15703
badl	Bifidobacterium adolescentis 22L
bla	Bifidobacterium animalis subsp. lactis AD011
blc	Bifidobacterium animalis subsp. lactis Bl-04
blt	Bifidobacterium animalis subsp. lactis DSM 10140
bbb	Bifidobacterium animalis subsp. lactis BB-12
bbc	Bifidobacterium animalis subsp. lactis BLC1
bnm	Bifidobacterium animalis subsp. lactis CNCM I-2494
blv	Bifidobacterium animalis subsp. lactis V9
blw	Bifidobacterium animalis subsp. lactis B420
bls	Bifidobacterium animalis subsp. lactis Bi-07
bani	Bifidobacterium animalis subsp. lactis Bl12
banl	Bifidobacterium animalis subsp. lactis ATCC 27673
bni	Bifidobacterium animalis subsp. animalis ATCC 25527
bde	Bifidobacterium dentium
bbi	Bifidobacterium bifidum S17
bbp	Bifidobacterium bifidum PRL2010
bbf	Bifidobacterium bifidum BGN4
bbv	Bifidobacterium breve ACS-071-V-Sch8b
bbru	Bifidobacterium breve UCC2003
bbre	Bifidobacterium breve 12L
bbrv	Bifidobacterium breve 689b
bbrj	Bifidobacterium breve JCM 7017
bbrc	Bifidobacterium breve JCM 7019
bbrn	Bifidobacterium breve NCFB 2258
bbrs	Bifidobacterium breve S27
bast	Bifidobacterium asteroides
btp	Bifidobacterium thermophilum
bcor	Bifidobacterium coryneforme
gva	Gardnerella vaginalis 409-05
gvg	Gardnerella vaginalis ATCC 14019
gvh	Gardnerella vaginalis HMP9231
rxy	Rubrobacter xylanophilus
rrd	Rubrobacter radiotolerans
cwo	Conexibacter woesei
afo	Acidimicrobium ferrooxidans
aym	Ilumatobacter coccineus
ccu	Cryptobacterium curtum
shi	Slackia heliotrinireducens
apv	Atopobium parvulum
ele	Eggerthella lenta
eyy	Eggerthella sp. YY7918
ols	Olsenella uli
cgo	Coriobacterium glomerans
gpa	Gordonibacter pamelaeae
aeq	Adlercreutzia equolifaciens
ctr	Chlamydia trachomatis D/UW-3/CX
ctd	Chlamydia trachomatis D-EC
ctf	Chlamydia trachomatis D-LC
ctrd	Chlamydia trachomatis D/SotonD1
ctro	Chlamydia trachomatis D/SotonD5
ctrt	Chlamydia trachomatis D/SotonD6
cta	Chlamydia trachomatis A/HAR-13
cty	Chlamydia trachomatis A2497
cra	Chlamydia trachomatis A2497
ctrq	Chlamydia trachomatis A/363
ctrx	Chlamydia trachomatis A/5291
ctrz	Chlamydia trachomatis A/7249
ctrp	Chlamydia trachomatis L1/1322/p2
ctlj	Chlamydia trachomatis L1/115
ctlx	Chlamydia trachomatis L1/224
ctll	Chlamydia trachomatis L1/440/LN
ctb	Chlamydia trachomatis L2/434/Bu
ctrr	Chlamydia trachomatis L2/25667R
ctlf	Chlamydia trachomatis L2/434/Bu(f)
ctli	Chlamydia trachomatis L2/434/Bu(i)
ctl	Chlamydia trachomatis L2b/UCH-1/proctitis
ctru	Chlamydia trachomatis L2b/UCH-2
ctrl	Chlamydia trachomatis L2b/LST
ctrv	Chlamydia trachomatis L2b/CV204
ctrm	Chlamydia trachomatis L2b/Ams1
ctla	Chlamydia trachomatis L2b/Ams2
ctlm	Chlamydia trachomatis L2b/Ams3
ctls	Chlamydia trachomatis L2b/Ams4
ctlz	Chlamydia trachomatis L2b/Ams5
ctlc	Chlamydia trachomatis L2b/Canada1
ctln	Chlamydia trachomatis L2b/Canada2
ctlb	Chlamydia trachomatis L2b/795
ctlq	Chlamydia trachomatis L2b/8200/07
cto	Chlamydia trachomatis L2c
ctrn	Chlamydia trachomatis L3/404/LN
ctj	Chlamydia trachomatis B/Jali20/OT
ctz	Chlamydia trachomatis B/TZ1A828/OT
ctg	Chlamydia trachomatis E/11023
ctk	Chlamydia trachomatis E/150
csw	Chlamydia trachomatis Sweden2
ces	Chlamydia trachomatis E/SW3
ctrb	Chlamydia trachomatis E/Bour
ctre	Chlamydia trachomatis E/SotonE4
ctrs	Chlamydia trachomatis E/SotonE8
ctec	Chlamydia trachomatis E/C599
cfs	Chlamydia trachomatis F/SW4
cfw	Chlamydia trachomatis F/SW5
ctfw	Chlamydia trachomatis F/SWFPminus
ctrf	Chlamydia trachomatis F/SotonF3
ctch	Chlamydia trachomatis F/11-96
ctn	Chlamydia trachomatis G/11074
ctq	Chlamydia trachomatis G/11222
ctv	Chlamydia trachomatis G/9301
ctw	Chlamydia trachomatis G/9768
ctrg	Chlamydia trachomatis G/SotonG1
ctri	Chlamydia trachomatis IU824
ctra	Chlamydia trachomatis IU888
ctrh	Chlamydia trachomatis Ia/SotonIa1
ctrj	Chlamydia trachomatis Ia/SotonIa3
ctrk	Chlamydia trachomatis K/SotonK1
ctjt	Chlamydia trachomatis J/6276tet1
ctcf	Chlamydia trachomatis RC-F/69
ctfs	Chlamydia trachomatis RC-F(s)/342
cthf	Chlamydia trachomatis RC-F(s)/852
ctcj	Chlamydia trachomatis RC-J/943
cthj	Chlamydia trachomatis RC-J/953
ctmj	Chlamydia trachomatis RC-J/966
cttj	Chlamydia trachomatis RC-J/971
ctjs	Chlamydia trachomatis RC-J(s)/122
ctrc	Chlamydia trachomatis RC-L2/55
ctrw	Chlamydia trachomatis RC-L2(s)/3
ctry	Chlamydia trachomatis RC-L2(s)/46
ctct	Chlamydia trachomatis C/TW-3
cmu	Chlamydia muridarum Nigg
cmn	Chlamydia muridarum Nigg 2 MCR
cpn	Chlamydia pneumoniae CWL029
cpa	Chlamydia pneumoniae AR39
cpj	Chlamydia pneumoniae J138
cpt	Chlamydia pneumoniae TW183
clp	Chlamydia pneumoniae LPCoLN
cpm	Chlamydia pecorum E58
cpec	Chlamydia pecorum P787
cpeo	Chlamydia pecorum PV3056/3
cper	Chlamydia pecorum W73
chp	Chlamydia psittaci 6BC
chb	Chlamydia psittaci 6BC
chs	Chlamydia psittaci 01DC11
chi	Chlamydia psittaci 02DC15
cht	Chlamydia psittaci 08DC60
chc	Chlamydia psittaci C19/98
chr	Chlamydia psittaci RD1
cpsc	Chlamydia psittaci CP3
